artist,title,album,url,isDownloaded
Pennywise,Time to Burn,,https://music.youtube.com/watch?v=VKkAJO_FOx4list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Germs,We Must Bleed,GI,https://music.youtube.com/watch?v=2BEaumJwPhQlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Offspring,A Thousand Days,,https://music.youtube.com/watch?v=t03PrDkWWyElist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
snfu,Broken Toy,And No One Else Wanted to Play,https://music.youtube.com/watch?v=_q_dvPooBgAlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Beastie Boys,Egg Raid On Mojo,Some Old Bullshit,https://music.youtube.com/watch?v=_fyEPio-kgMlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Drunk Injuns,Question Authority,"From Where The Sun Now Stands I Will Fight No More, Forever",https://music.youtube.com/watch?v=KIGBgqZSkrUlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Pennywise,Fun and Games,,https://music.youtube.com/watch?v=LWLgjj5gsxIlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
NOFX,Drug Free America,,https://music.youtube.com/watch?v=q8s_aAhdJ88list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Dicks,Cities are Burning,These People / Peace?,https://music.youtube.com/watch?v=XYRZp9d-HNElist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Big Boys,Fun Fun Fun,The Fat Elvis,https://music.youtube.com/watch?v=CdbQMH8NyvYlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
face to face,Chesterfield King,Standards and Practices,https://music.youtube.com/watch?v=DnefltP3eJ8list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Drunk Injuns,Bad Kid,"From Where The Sun Now Stands I Will Fight No More, Forever",https://music.youtube.com/watch?v=grPik2z5biclist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Germs,Strange Notes,GI,https://music.youtube.com/watch?v=f366QoxHi5Alist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Agression,Intense Energy,Don't Be Mistaken,https://music.youtube.com/watch?v=whZqOc4M57Ylist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
RKL,We're Back We're Pissed,Riches To Rags,https://music.youtube.com/watch?v=liab3R9W11Elist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
JFA,Preppy,Valley of the Yakes,https://music.youtube.com/watch?v=IVjbyP1Udtklist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
D.R.I.,Sad To Be,The Dirty Rotten CD,https://music.youtube.com/watch?v=KWm0gPkqrUslist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Faction,Let's Go Get Cokes (feat. Steve Caballero (pro skateboard legend)),Collection 1982-1985,https://music.youtube.com/watch?v=Guw79P6GcK8list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Gang Green,Let's Drink Some Beer,Drop the Needle: Boston Punk Anthology,https://music.youtube.com/watch?v=nMBmfTKlJAAlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Big Boys,Jump the Fence,The Fat Elvis,https://music.youtube.com/watch?v=zdGeIE1rQtMlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Gas Huffer,"Nisqually (feat. Tom Price, Don Blackstone, Joe Newton & Matt Wright)",Janitors of Tomorrow,https://music.youtube.com/watch?v=68emBEUmBJIlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
JFA,Skateboard,Valley of the Yakes,https://music.youtube.com/watch?v=ig-uHYOS6Qslist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Dwarves,Speed Demon,Thank Heaven for Little Girls,https://music.youtube.com/watch?v=WFub4pDcj8clist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Faction,Skate Harassment (feat. Steve Caballero (pro skateboard legend)),Collection 1982-1985,https://music.youtube.com/watch?v=VNxrxHBwUfElist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Agression,Stop the Clock,Don't Be Mistaken,https://music.youtube.com/watch?v=g2cBKtE8L04list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Black Flag,I Don't Care,Wasted...Again,https://music.youtube.com/watch?v=N55tPKXcDkklist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Big Boys,Apolitical,The Fat Elvis,https://music.youtube.com/watch?v=Wfhy_P5R9r8list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
JFA,We Know You Suck,Valley of the Yakes,https://music.youtube.com/watch?v=ANJ9b4gJHrglist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Gas Huffer,"George Washington (feat. Tom Price, Don Blackstone, Joe Newton & Matt Wright)",Integrity Technology and Service,https://music.youtube.com/watch?v=10a7sTG9gkElist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Descendents,Weinerschnitzel,Bonus Fat,https://music.youtube.com/watch?v=nDZ8aZNakKUlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
SNFU,Fate,FYULABA,https://music.youtube.com/watch?v=qqlV_d_NXVclist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Circle Jerks,Paid Vacation,Group Sex,https://music.youtube.com/watch?v=WJYHTjdaib8list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Agnostic Front,One Voice,To Be Continued: The Best of Agnostic Front,https://music.youtube.com/watch?v=abH90Or71x0list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
