artist,title,album,url,isDownloaded
Bring Me The Horizon,Parasite Eve,POST HUMAN: SURVIVAL HORROR,https://music.youtube.com/watch?v=GbiB9BBs_qklist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
The Offspring,Self Esteem,Smash (2008 Remaster),https://music.youtube.com/watch?v=7ifeDVAE_Zglist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Metallica,One,…And Justice for All,https://music.youtube.com/watch?v=tyBiHyazMOclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
AC/DC,Highway to Hell,Highway to Hell,https://music.youtube.com/watch?v=ikFFVfObwsslist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Blue October,Hate Me,Foiled,https://music.youtube.com/watch?v=1N18VIb-qr0list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Three Days Grace,Never Too Late,One-X,https://music.youtube.com/watch?v=SRbA_JzFKuAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Nirvana,Come As You Are,Nevermind (Deluxe Edition),https://music.youtube.com/watch?v=f1IdyrhOrGslist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Linkin Park,Somewhere I Belong,Meteora,https://music.youtube.com/watch?v=3p8RUuc5W-Mlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
The Black Keys,Lonely Boy,El Camino,https://music.youtube.com/watch?v=9DYPfItb2fklist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Seether,Fake It,Finding Beauty In Negative Spaces (Bonus Track Version),https://music.youtube.com/watch?v=akoYOyky_3clist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Metallica,Enter Sandman,Metallica,https://music.youtube.com/watch?v=YxRxd8aNd6Ilist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Nirvana,Smells Like Teen Spirit,Nevermind,https://music.youtube.com/watch?v=NKhzPgaygmAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Oasis,Wonderwall,(What's The Story) Morning Glory? (Remastered),https://music.youtube.com/watch?v=ZrOKjDZOtkAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
My Chemical Romance,Welcome to the Black Parade,The Black Parade,https://music.youtube.com/watch?v=v_uncMEJkBclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Nickelback,How You Remind Me,Silver Side Up,https://music.youtube.com/watch?v=tcig6XUIp5clist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",Infinity On High,https://music.youtube.com/watch?v=Qw1Vg0kesgglist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
