artist,title,album,url,isDownloaded
Khalid,Talk (feat. Disclosure),Free Spirit,https://music.youtube.com/watch?v=tEpuiZm94OQlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Hailee Steinfeld,Starving (feat. Zedd),Starving,https://music.youtube.com/watch?v=tUUoS_j3wWwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Virginia To Vegas,Lights Out,Utopian,https://music.youtube.com/watch?v=I6rSDDKkCQYlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Janine,Never the Right Time,99,https://music.youtube.com/watch?v=34PCFXS_XtIlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
blackbear,chateau,digital druglord,https://music.youtube.com/watch?v=ZPQ0mo2lLqolist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
blackbear,i miss the old u,digital druglord,https://music.youtube.com/watch?v=IPre4_OSH5Elist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
benny blanco,Eastside,Eastside,https://music.youtube.com/watch?v=74qn0eJSjpAlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Madison Beer,Hurts Like Hell (feat. Offset),Hurts Like Hell,https://music.youtube.com/watch?v=mCqgV5RgDbAlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
STRFKR,Open Your Eyes,,https://music.youtube.com/watch?v=mkeOoWquAqklist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Ariana Grande,no tears left to cry,Sweetener,https://music.youtube.com/watch?v=t31xgKtLjwolist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Halsey,Without Me (feat. Juice WRLD),Manic,https://music.youtube.com/watch?v=FO5LrcUS-Gwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
The Weeknd,Save Your Tears (Remix),Save Your Tears (Remix),https://music.youtube.com/watch?v=UMnJ6arAbZglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
blackbear,hot girl bummer,everything means nothing,https://music.youtube.com/watch?v=2-iHz7O1e9Ylist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
NF,Time,The Search,https://music.youtube.com/watch?v=AkmJop2WUQAlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lorde,Ribs,Pure Heroine (Extended),https://music.youtube.com/watch?v=B25PAgrFQ-klist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
G-Eazy,Let's Get Lost (feat. Devon Baldwin),These Things Happen,https://music.youtube.com/watch?v=c-ffrMBYZqYlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
G-Eazy,"Me, Myself & I",When It's Dark Out,https://music.youtube.com/watch?v=6wCe1Iv-a5Elist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Ariana Grande,Side to Side (feat. Nicki Minaj),Dangerous Woman,https://music.youtube.com/watch?v=psuGCpXaDMUlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Post Malone,Better Now,Beerbongs & Bentleys,https://music.youtube.com/watch?v=0tTn95TLIawlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Machine Gun Kelly,Let You Go,bloom,https://music.youtube.com/watch?v=8nMMxGFlkW0list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Ariana Grande,God is a woman,Sweetener,https://music.youtube.com/watch?v=vpohuhgqf5wlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Post Malone,Goodbyes (feat. Young Thug),Hollywood's Bleeding,https://music.youtube.com/watch?v=YgKDE5eYNqclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Doja Cat,Juicy,Amala (Deluxe Version),https://music.youtube.com/watch?v=pF8GWKjgpTwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Machine Gun Kelly,why are you here,,https://music.youtube.com/watch?v=LmTXmOH6M_Ilist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Bishop Briggs,Dark Side,Bishop Briggs,https://music.youtube.com/watch?v=hFHAPnUxDaAlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
SAYGRACE,Boys Ain't Shit (feat. Tate McRae & Audrey Mika),Boys Ain't Shit,https://music.youtube.com/watch?v=MUsPEjRdb-klist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Daya,Safe,Safe,https://music.youtube.com/watch?v=hnBIcipOxBolist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Drax Project,Woke Up Late (feat. Hailee Steinfeld),Drax Project,https://music.youtube.com/watch?v=s6fI-LAlQvclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Kygo,I'll Wait,Golden Hour,https://music.youtube.com/watch?v=W-2ep3iZAlIlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Sasha Sloan,Older,Older,https://music.youtube.com/watch?v=iq_bO2Rva6olist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Alina Baraz,Fantasy,Urban Flora,https://music.youtube.com/watch?v=zLiWa2_dQLklist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Alina Baraz,Electric (feat. Khalid),The Color Of You,https://music.youtube.com/watch?v=8KC22heyRMMlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
DeathbyRomy,Problems,Problems,https://music.youtube.com/watch?v=YzJ9iaHpOsIlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Julia Michaels,Heaven,Fifty Shades Freed (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=7gdqLvzHAHclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Bea Miller,NEVER GONNA LIKE YOU,NEVER GONNA LIKE YOU,https://music.youtube.com/watch?v=sg7byYMwzgclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
HAVEN,RN,RN,https://music.youtube.com/watch?v=fsKeEzBPHholist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Tayla Parx,I Want You,We Need To Talk,https://music.youtube.com/watch?v=_LsvQHkY-Uwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
BANKS,Gimme,III,https://music.youtube.com/watch?v=p1dK6MgsMCklist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lauren Sanderson,Hotel Room,Hotel Room,https://music.youtube.com/watch?v=2RWbACQGNfslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Janine,Never the Right Time,,https://music.youtube.com/watch?v=f_zCvw558rQlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Khalid,Better,Suncity,https://music.youtube.com/watch?v=zweuMUhYpX0list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Doja Cat,Kiss Me More (feat. SZA),,https://music.youtube.com/watch?v=0EVVKs6DQLolist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
